spec,lags,equation,regressor,coef,se,t,p,n_obs,n_countries
S1_lag1,1,gini_disp,d_gini_disp_l1,0.6381065642228579,0.03322801175276266,19.2038743988287,0.0,3491,128
S1_lag1,1,gini_disp,d_v2x_corr_l1,0.1494019321147854,0.2283223271222031,0.6543465722247225,0.5129337220366199,3491,128
S1_lag1,1,v2x_corr,d_gini_disp_l1,0.0020652732063778483,0.0012895506055992012,1.6015449082885744,0.10935110379792312,3491,128
S1_lag1,1,v2x_corr,d_v2x_corr_l1,0.07980027696355572,0.025993261751395613,3.070037062942712,0.002157574412938734,3491,128
S2_lag1,1,gini_disp,d_gini_disp_l1,0.6349352319893998,0.03381835094303292,18.774872644114122,0.0,3444,127
S2_lag1,1,gini_disp,d_v2x_corr_l1,0.11838303242374511,0.22770821229393232,0.5198891653100894,0.6031758684270332,3444,127
S2_lag1,1,gini_disp,d_log_gdp_pc_l1,-0.33119356337161165,0.1004771233577079,-3.2962086523171226,0.0009904111424927642,3444,127
S2_lag1,1,v2x_corr,d_gini_disp_l1,0.0011742313530856807,0.0011912552163943601,0.9857093063901062,0.3243483972490855,3444,127
S2_lag1,1,v2x_corr,d_v2x_corr_l1,0.07839717682630669,0.025696128507664052,3.050933404342377,0.0022995416121442958,3444,127
S2_lag1,1,v2x_corr,d_log_gdp_pc_l1,-0.0427650983615556,0.017498159847579377,-2.4439768943744986,0.014578626678636741,3444,127
S2_lag1,1,log_gdp_pc,d_gini_disp_l1,-0.010162122969577782,0.0030538878331997817,-3.32760190439941,0.000885616685118773,3444,127
S2_lag1,1,log_gdp_pc,d_v2x_corr_l1,-0.06124553583970433,0.03523721176086878,-1.7380925668959428,0.08228823620002634,3444,127
S2_lag1,1,log_gdp_pc,d_log_gdp_pc_l1,0.3176727963164212,0.07667648189873687,4.143027802657367,3.513941898791728e-05,3444,127
S3_lag1,1,gini_disp,d_gini_disp_l1,0.6235409895218995,0.035511466170873564,17.558863565969197,0.0,3169,115
S3_lag1,1,gini_disp,d_v2x_corr_l1,0.26186985924830875,0.2770297313286556,0.9452770935175839,0.3445930257025809,3169,115
S3_lag1,1,gini_disp,d_education_years_l1,0.00989738477689486,0.06788140138602534,0.14580407261498318,0.8840857882621409,3169,115
S3_lag1,1,v2x_corr,d_gini_disp_l1,0.0027464388127935438,0.0013009760495070425,2.1110602411429533,0.03484908033081813,3169,115
S3_lag1,1,v2x_corr,d_v2x_corr_l1,0.06987665318317016,0.027676081549987325,2.5248029803988694,0.011627113550264134,3169,115
S3_lag1,1,v2x_corr,d_education_years_l1,-0.00557526572020872,0.007377466213715329,-0.7557155205731519,0.4498786948042075,3169,115
S3_lag1,1,education_years,d_gini_disp_l1,0.002204270380599983,0.0021497325865678357,1.0253695712540785,0.30527093488429013,3169,115
S3_lag1,1,education_years,d_v2x_corr_l1,0.01059125827407725,0.014381916076916091,0.736428874805973,0.46152691752053987,3169,115
S3_lag1,1,education_years,d_education_years_l1,0.7807865817737251,0.009057048484855005,86.20761863860385,0.0,3169,115
S4_lag1,1,gini_disp,d_gini_disp_l1,0.6447891165069035,0.031230886695924893,20.64587927921488,0.0,3184,122
S4_lag1,1,gini_disp,d_v2x_corr_l1,0.17024972228946628,0.25848174031484183,0.6586528010918482,0.5101688097308368,3184,122
S4_lag1,1,gini_disp,d_trade_open_l1,0.000698414068523731,0.0008903996319192495,0.7843827013026778,0.4328769222280666,3184,122
S4_lag1,1,v2x_corr,d_gini_disp_l1,0.002197808399925031,0.001475905106978824,1.4891258181387705,0.13655834677675815,3184,122
S4_lag1,1,v2x_corr,d_v2x_corr_l1,0.06557077147089797,0.027178528892364533,2.412594578999427,0.01589848013624362,3184,122
S4_lag1,1,v2x_corr,d_trade_open_l1,-7.719884997767263e-06,9.574694168753505e-05,-0.08062800609298508,0.9357431196813959,3184,122
S4_lag1,1,trade_open,d_gini_disp_l1,0.4520177970615579,0.41666220799124876,1.0848543217796507,0.27807251782044395,3184,122
S4_lag1,1,trade_open,d_v2x_corr_l1,0.7963854184586552,3.4932903938541555,0.22797572737146576,0.8196804979878423,3184,122
S4_lag1,1,trade_open,d_trade_open_l1,-0.0473855178546885,0.03281316426532324,-1.4441008331758252,0.14881403663499704,3184,122
S5_lag1,1,gini_disp,d_gini_disp_l1,0.5642516942707125,0.07970275067987068,7.079450702235514,1.7956747200287282e-12,3150,123
S5_lag1,1,gini_disp,d_v2x_corr_l1,0.38841476020815374,0.3479684471855729,1.1162355763854952,0.2644108855377356,3150,123
S5_lag1,1,gini_disp,d_gov_size_l1,-0.0007354827949162363,0.0038621556555930034,-0.1904332348312121,0.848982567182722,3150,123
S5_lag1,1,v2x_corr,d_gini_disp_l1,0.0019958936292918932,0.0013252414112861009,1.5060604145737853,0.13215715651299376,3150,123
S5_lag1,1,v2x_corr,d_v2x_corr_l1,0.06274867245643267,0.02689335183246971,2.3332410495843443,0.019701387952343552,3150,123
S5_lag1,1,v2x_corr,d_gov_size_l1,8.992689470086611e-05,0.0005481799050477611,0.16404631740930212,0.8697057546648281,3150,123
S5_lag1,1,gov_size,d_gini_disp_l1,0.039059565024926225,0.061652133997189336,0.6335476567073398,0.5264244626941199,3150,123
S5_lag1,1,gov_size,d_v2x_corr_l1,-0.9249331749880901,1.1199413109716077,-0.8258764686389345,0.4089399734885384,3150,123
S5_lag1,1,gov_size,d_gov_size_l1,-0.02591594988547137,0.030544323752780125,-0.8484702459033003,0.3962439645783853,3150,123
S6_lag1,1,gini_disp,d_gini_disp_l1,0.5543700712131372,0.0673532297740582,8.23078675028378,2.220446049250313e-16,2873,110
S6_lag1,1,gini_disp,d_v2x_corr_l1,0.5704860921274407,0.39121434377920683,1.4582443133767384,0.14488836950631168,2873,110
S6_lag1,1,gini_disp,d_log_gdp_pc_l1,-0.4420256365952755,0.16622601251687705,-2.6591845036913,0.007878812419318537,2873,110
S6_lag1,1,gini_disp,d_education_years_l1,-0.4030051160564062,0.3502964418399853,-1.1504687685080686,0.2500517230053918,2873,110
S6_lag1,1,gini_disp,d_trade_open_l1,0.001806666899792121,0.0012995102145571726,1.390267563543369,0.1645611008040424,2873,110
S6_lag1,1,gini_disp,d_gov_size_l1,-0.004535699896391278,0.0047184853062832675,-0.9612618461164671,0.33650575018569295,2873,110
S6_lag1,1,v2x_corr,d_gini_disp_l1,0.0024381955585837368,0.0011436897239420194,2.131868029888274,0.03310683754066068,2873,110
S6_lag1,1,v2x_corr,d_v2x_corr_l1,0.04573970407612227,0.0283902331586533,1.6111070247473778,0.10727212521288321,2873,110
S6_lag1,1,v2x_corr,d_log_gdp_pc_l1,-0.048826324544930536,0.02360124954129154,-2.0688025207947778,0.03865865232660104,2873,110
S6_lag1,1,v2x_corr,d_education_years_l1,-0.007265581174169877,0.006048301875490851,-1.2012596797808208,0.22975480575230445,2873,110
S6_lag1,1,v2x_corr,d_trade_open_l1,4.471290168058605e-07,8.595773083422092e-05,0.005201731274970471,0.995850018120366,2873,110
S6_lag1,1,v2x_corr,d_gov_size_l1,-7.905276346777718e-06,0.0005699227398538932,-0.013870785974962737,0.9889340835564391,2873,110
S6_lag1,1,log_gdp_pc,d_gini_disp_l1,-0.008825219268853157,0.0031023030465213886,-2.844731522521268,0.004478034377016993,2873,110
S6_lag1,1,log_gdp_pc,d_v2x_corr_l1,-0.0481152567634281,0.030271412366918115,-1.5894619048568244,0.11207206704162154,2873,110
S6_lag1,1,log_gdp_pc,d_log_gdp_pc_l1,0.23865793306216831,0.08483394685400406,2.8132362328124305,0.004939689721385809,2873,110
S6_lag1,1,log_gdp_pc,d_education_years_l1,0.015849565821426197,0.011001306801393666,1.4406984649694838,0.1497846909356486,2873,110
S6_lag1,1,log_gdp_pc,d_trade_open_l1,0.0003567789160562581,0.0002297187263402299,1.5531120241709986,0.12051241374831512,2873,110
S6_lag1,1,log_gdp_pc,d_gov_size_l1,0.000915641826637755,0.001160663067178913,0.7888954620252523,0.4302416861931908,2873,110
S6_lag1,1,education_years,d_gini_disp_l1,-0.013853751661139745,0.012953792751663853,-1.0694745490165647,0.2849505443844236,2873,110
S6_lag1,1,education_years,d_v2x_corr_l1,0.05397369061381548,0.04929629587637115,1.094883289997582,0.2736644627342695,2873,110
S6_lag1,1,education_years,d_log_gdp_pc_l1,-0.02859262100362494,0.025952101636923342,-1.1017458779887328,0.2706693952034198,2873,110
S6_lag1,1,education_years,d_education_years_l1,0.6853613616667267,0.07600255285501303,9.017609750216714,0.0,2873,110
S6_lag1,1,education_years,d_trade_open_l1,7.197178910595702e-05,0.00020243690430208735,0.3555270189202103,0.7222223044814278,2873,110
S6_lag1,1,education_years,d_gov_size_l1,-0.00041096116246669846,0.0005890856402194822,-0.6976254968862967,0.4854709055134492,2873,110
S6_lag1,1,trade_open,d_gini_disp_l1,0.20608380583348612,0.4190718925048667,0.49176241480116173,0.6229268894600408,2873,110
S6_lag1,1,trade_open,d_v2x_corr_l1,2.608565919425111,4.444280643474433,0.5869489640028215,0.5572865708972827,2873,110
S6_lag1,1,trade_open,d_log_gdp_pc_l1,-9.105037710176667,8.741614545577034,-1.041573917804865,0.29770159711753186,2873,110
S6_lag1,1,trade_open,d_education_years_l1,2.162114878073932,3.5829239777062765,0.6034498335792431,0.5462596667199633,2873,110
S6_lag1,1,trade_open,d_trade_open_l1,-0.030785671194761367,0.039640526317355776,-0.7766211515027868,0.43744967411883984,2873,110
S6_lag1,1,trade_open,d_gov_size_l1,-0.29682459594750765,0.15911574972892645,-1.865463327503314,0.062223794009984124,2873,110
S6_lag1,1,gov_size,d_gini_disp_l1,0.05783414960007614,0.06158212194358858,0.9391386294394709,0.3477427461316034,2873,110
S6_lag1,1,gov_size,d_v2x_corr_l1,0.09314949437977173,1.0494611292829983,0.0887593563788421,0.9292796766421929,2873,110
S6_lag1,1,gov_size,d_log_gdp_pc_l1,1.094601965380425,0.8700883239203876,1.2580354606397182,0.20848663879826068,2873,110
S6_lag1,1,gov_size,d_education_years_l1,0.011903974525484678,0.26719854060774034,0.044551046193625196,0.9644684252045916,2873,110
S6_lag1,1,gov_size,d_trade_open_l1,-0.00564635526724036,0.004416558918511605,-1.278451249359354,0.20119915913797337,2873,110
S6_lag1,1,gov_size,d_gov_size_l1,-0.01159026517878629,0.034078890705582045,-0.34010101088436634,0.7338066543692383,2873,110
S1_lag2,2,gini_disp,d_gini_disp_l1,0.6046761044302449,0.0405310297359883,14.918843867747604,0.0,3363,128
S1_lag2,2,gini_disp,d_gini_disp_l2,0.026816400778894835,0.030782640557180916,0.8711533609042241,0.3837357302965334,3363,128
S1_lag2,2,gini_disp,d_v2x_corr_l1,0.054891618370171424,0.18148673484763272,0.3024552643820261,0.7623246762640454,3363,128
S1_lag2,2,gini_disp,d_v2x_corr_l2,0.18746359914708494,0.15648952072140565,1.1979306875175473,0.23103266532307876,3363,128
S1_lag2,2,v2x_corr,d_gini_disp_l1,0.0014925538328726415,0.0019034137080928813,0.7841457831929248,0.43301257646884883,3363,128
S1_lag2,2,v2x_corr,d_gini_disp_l2,-0.0004975760487561638,0.001813587132194287,-0.27436015613660586,0.7838255578341218,3363,128
S1_lag2,2,v2x_corr,d_v2x_corr_l1,0.05920139012316502,0.025465311682332653,2.3247856088185173,0.02014564923428752,3363,128
S1_lag2,2,v2x_corr,d_v2x_corr_l2,-0.017145176836568205,0.017488808531007285,-0.9803513376094302,0.3269867854879649,3363,128
S2_lag2,2,gini_disp,d_gini_disp_l1,0.6038150089901899,0.0414745164603625,14.55869918501064,0.0,3317,127
S2_lag2,2,gini_disp,d_gini_disp_l2,0.018713218622657145,0.03190087903141783,0.58660510903876,0.5575109182971476,3317,127
S2_lag2,2,gini_disp,d_v2x_corr_l1,0.014788227320988402,0.18109165827046864,0.08166156002007288,0.9349210267626786,3317,127
S2_lag2,2,gini_disp,d_v2x_corr_l2,0.14837036382454813,0.15538054078467328,0.9548838166946537,0.3397096098366523,3317,127
S2_lag2,2,gini_disp,d_log_gdp_pc_l1,-0.19861219976938146,0.08202426026243888,-2.4213836142370107,0.015517602553963616,3317,127
S2_lag2,2,gini_disp,d_log_gdp_pc_l2,-0.2800073825573613,0.08882302801091516,-3.152418790799973,0.0016344318146657155,3317,127
S2_lag2,2,v2x_corr,d_gini_disp_l1,0.000976148092277461,0.001938236769006999,0.5036268570931935,0.6145587771505294,3317,127
S2_lag2,2,v2x_corr,d_gini_disp_l2,-0.0012650056887799968,0.0018091461773621152,-0.6992280140814712,0.4844610898527941,3317,127
S2_lag2,2,v2x_corr,d_v2x_corr_l1,0.05711324457803774,0.025432740790037697,2.2456582658369904,0.02479486183535662,3317,127
S2_lag2,2,v2x_corr,d_v2x_corr_l2,-0.02086862225961401,0.01684398515322632,-1.2389361585026575,0.21546130352259363,3317,127
S2_lag2,2,v2x_corr,d_log_gdp_pc_l1,-0.02373583040314458,0.022097948461576256,-1.074119185516984,0.28285140760446636,3317,127
S2_lag2,2,v2x_corr,d_log_gdp_pc_l2,-0.030439236529528898,0.01493833927807769,-2.0376586689391294,0.04166734555420937,3317,127
S2_lag2,2,log_gdp_pc,d_gini_disp_l1,-0.006702848109592693,0.002707193750019389,-2.4759395627094243,0.01334071112024171,3317,127
S2_lag2,2,log_gdp_pc,d_gini_disp_l2,0.0004905461732987769,0.0020255546070322484,0.2421786959461454,0.8086574423343149,3317,127
S2_lag2,2,log_gdp_pc,d_v2x_corr_l1,-0.008671096172286268,0.030007682319986656,-0.2889625423190672,0.7726290268022007,3317,127
S2_lag2,2,log_gdp_pc,d_v2x_corr_l2,-0.04688367804341598,0.028881995741339667,-1.62328387772421,0.10462863681194556,3317,127
S2_lag2,2,log_gdp_pc,d_log_gdp_pc_l1,0.23602142326115416,0.07047867808515479,3.3488344230291163,0.0008210498909591024,3317,127
S2_lag2,2,log_gdp_pc,d_log_gdp_pc_l2,0.09597215114607517,0.037255822454093375,2.576030934878221,0.010039264392029734,3317,127
S3_lag2,2,gini_disp,d_gini_disp_l1,0.5897518668863186,0.041143922880508395,14.333875469266662,0.0,3054,115
S3_lag2,2,gini_disp,d_gini_disp_l2,0.025708784033057507,0.031154944919111416,0.8251911245488011,0.4093308702917742,3054,115
S3_lag2,2,gini_disp,d_v2x_corr_l1,0.14325505572088187,0.21804824299866465,0.6569878929121166,0.5112407629127576,3054,115
S3_lag2,2,gini_disp,d_v2x_corr_l2,0.3292424326539906,0.1793235845296995,1.8360241544215934,0.06645626372680291,3054,115
S3_lag2,2,gini_disp,d_education_years_l1,0.060500111289208534,0.10995447803157857,0.550228716213205,0.5822048275372089,3054,115
S3_lag2,2,gini_disp,d_education_years_l2,-0.06152726164098768,0.15220289731883802,-0.40424500929242496,0.6860623272708246,3054,115
S3_lag2,2,v2x_corr,d_gini_disp_l1,0.0035840351307354417,0.001530583643783838,2.3416133742780345,0.01926785648135887,3054,115
S3_lag2,2,v2x_corr,d_gini_disp_l2,-0.0019061121677687995,0.0014868122244536802,-1.2820127090824724,0.19994052458456513,3054,115
S3_lag2,2,v2x_corr,d_v2x_corr_l1,0.045145891425613385,0.02703763318704068,1.6697427290807434,0.09507805178373152,3054,115
S3_lag2,2,v2x_corr,d_v2x_corr_l2,-0.03289032259536046,0.018363353921470697,-1.7910847188380237,0.07338380811057599,3054,115
S3_lag2,2,v2x_corr,d_education_years_l1,-0.001200966563292221,0.00778173757617202,-0.15433141397232755,0.8773591535756979,3054,115
S3_lag2,2,v2x_corr,d_education_years_l2,-0.007803116112898505,0.006990803800280879,-1.116197269416285,0.2644300519258038,3054,115
